Timestamp,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price
2019-01-01,37.4671,38.5091,37.0723,38.4352,112.50627,432420.099,37.68843292
2019-01-02,38.4922,39.4798,38.1741,39.4341,133.003082,524485.6836,38.49057235
2019-01-03,39.3105,39.3569,38.2622,38.3674,118.0745951,453021.5219,38.84223271
2019-01-04,38.3204,38.6593,37.8385,38.5772,125.6691898,484796.5467,38.31665015
2019-01-05,38.5197,39.049,38.369,38.4519,133.6113384,513760.9824,38.64870571
2019-01-06,38.3652,40.933,38.2651,40.7663,137.2954484,559702.744,38.57219009
2019-01-07,40.7859,40.9261,40.2089,40.2525,129.8956745,522862.5637,40.23130749
2019-01-08,40.2847,41.0902,39.9696,40.3085,131.649486,530659.3305,40.31802388
2019-01-09,40.3155,40.684,40.2266,40.353,126.7788076,511590.5225,40.55341473
2019-01-10,40.3441,40.6407,36.5917,36.7892,186.8522228,687414.3796,38.25052322
2019-01-11,36.7402,37.1388,36.5307,36.8737,150.2076782,553871.2865,36.87719141
2019-01-12,36.8697,36.9898,36.5381,36.613,130.5047629,477817.0883,36.59458703
2019-01-13,36.5887,36.7476,35.4493,35.5295,131.7581859,468130.2466,36.66174071
2019-01-14,35.5731,37.2784,35.5229,37.0605,152.4907783,565138.449,35.84714203
2019-01-15,37.0422,37.2015,36.1995,36.3068,152.5111633,553719.2302,36.83710881
2019-01-16,36.3151,36.8578,36.2467,36.5501,147.590763,539445.7145,36.61351743
2019-01-17,36.5187,36.8014,36.2196,36.7856,148.5478117,546442.0383,36.38162093
2019-01-18,36.7799,36.8252,36.3708,36.5784,136.7736622,500296.1727,36.60363918
2019-01-19,36.5238,37.5853,36.5238,37.2857,159.7312476,595569.138,37.54783655
2019-01-20,37.2545,37.4339,35.8302,36.0101,155.0256611,558248.956,37.33153226
2019-01-21,36.0037,36.0884,35.5854,35.7603,139.9414171,500434.7059,35.78272041
2019-01-22,35.7508,36.2075,35.3972,36.0458,147.4131121,531362.3556,35.64132742
2019-01-23,36.0556,36.2307,35.6531,35.8512,151.564122,543375.5649,36.04219576
2019-01-24,35.845,36.1609,35.6909,36.0087,146.1554859,526286.9046,35.75694732
2019-01-25,36.0739,36.1293,35.756,35.9977,146.2828886,526584.7539,35.8137972
2019-01-26,35.9972,36.5493,35.9335,36.0246,141.519496,509818.3235,36.36599757
2019-01-27,36.0469,36.1267,35.6725,35.8397,155.4352566,557075.2966,35.73891948
2019-01-28,35.8428,35.8675,34.3923,34.7045,199.0788077,690893.0483,34.78948634
2019-01-29,34.6887,34.7607,34.0082,34.4812,171.0253556,589715.9493,34.22989852
2019-01-30,34.439,34.9517,34.2939,34.8618,170.8205723,595511.2627,34.6797789
2019-01-31,34.8541,35.048,34.4792,34.5779,168.6394567,583119.8271,34.58392131
2019-02-01,34.6055,35.0195,34.3159,34.8795,155.4760449,542292.6707,34.54788919
2019-02-02,34.8463,35.2329,34.6757,35.2106,144.0368412,507162.3601,34.83411357
2019-02-03,35.1614,35.2139,34.4792,34.6401,145.609787,504393.7584,34.80100042
2019-02-04,34.6721,34.7622,34.4259,34.5915,154.1626956,533271.8886,34.54376047
2019-02-05,34.5495,34.7815,34.5194,34.6636,150.8080391,522754.9545,34.7187986
2019-02-06,34.6909,34.6909,33.9857,34.1377,160.5906677,548219.6038,34.0921274
2019-02-07,34.1493,34.2795,33.9422,33.9947,147.227735,500496.2683,34.26618162
2019-02-08,34.0138,36.9561,33.9102,36.6678,210.9650184,773562.3101,34.41984344
